POINT (-71.0760443807948 42.35315925057316),1,LIGHT,42.35315925,-71.07604438
POINT (-71.07538171240694 42.353347768071195),2,LIGHT,42.35334777,-71.07538171
POINT (-71.07477488057383 42.35352052068278),3,LIGHT,42.35352052,-71.07477488
POINT (-71.07440373484715 42.3535558201314),4,LIGHT,42.35355582,-71.07440373
POINT (-71.07362079549182 42.35381056415504),5,LIGHT,42.35381056,-71.0736208
POINT (-71.07325501418602 42.3539109113942),6,LIGHT,42.35391091,-71.07325501
POINT (-71.07292162030087 42.354000153832814),7,LIGHT,42.35400015,-71.07292162
POINT (-71.0724038233387 42.35414092034717),8,LIGHT,42.35414092,-71.07240382
POINT (-71.07866370176541 42.35492688534045),9,LIGHT,42.35492689,-71.0786637
POINT (-71.07921632936232 42.35482231438127),10,LIGHT,42.35482231,-71.07921633
POINT (-71.07788136735387 42.354936210772486),11,LIGHT,42.35493621,-71.07788137
POINT (-71.07830036903032 42.35482384868488),12,LIGHT,42.35482385,-71.07830037
POINT (-71.0787153620535 42.3547115433116),13,LIGHT,42.35471154,-71.07871536
POINT (-71.07868287082087 42.35440771763967),14,LIGHT,42.35440772,-71.07868287
POINT (-71.07832715189859 42.35458708141286),15,LIGHT,42.35458708,-71.07832715
POINT (-71.07837408117462 42.354682161188286),16,LIGHT,42.35468216,-71.07837408
POINT (-71.07815584563978 42.35474356821135),17,LIGHT,42.35474357,-71.07815585
POINT (-71.0781074115781 42.354645750445385),18,LIGHT,42.35464575,-71.07810741
POINT (-71.07788798546109 42.354705475352354),19,LIGHT,42.35470548,-71.07788799
POINT (-71.07793581226376 42.35480202877476),20,LIGHT,42.35480203,-71.07793581
POINT (-71.07771889930284 42.35485938041514),21,LIGHT,42.35485938,-71.0777189
POINT (-71.07767367685199 42.354763851094226),22,LIGHT,42.35476385,-71.07767368
POINT (-71.07965622854367 42.35357198839011),23,LIGHT,42.35357199,-71.07965623
POINT (-71.0796414053167 42.35342646616954),24,LIGHT,42.35342647,-71.07964141
POINT (-71.07931457118582 42.353513015104696),25,LIGHT,42.35351302,-71.07931457
POINT (-71.07931637081319 42.35366294076086),26,LIGHT,42.35366294,-71.07931637
POINT (-71.07919458292545 42.35346496783236),27,LIGHT,42.35346497,-71.07919458
POINT (-71.07935464981767 42.35422523652642),28,LIGHT,42.35422524,-71.07935465
POINT (-71.07948826708179 42.35449952149506),29,LIGHT,42.35449952,-71.07948827
POINT (-71.07936017823758 42.35450881129006),30,LIGHT,42.35450881,-71.07936018
POINT (-71.07970944130449 42.354644605163195),31,LIGHT,42.35464461,-71.07970944
POINT (-71.0796452679207 42.346008121897604),32,LIGHT,42.34600812,-71.07964527
POINT (-71.07957350449591 42.34598177176074),33,LIGHT,42.34598177,-71.0795735
POINT (-71.0794690847632 42.3459141182904),34,LIGHT,42.34591412,-71.07946908
POINT (-71.07943409686625 42.34586572026575),35,LIGHT,42.34586572,-71.0794341
POINT (-71.07954674216921 42.34580594590718),36,LIGHT,42.34580595,-71.07954674
POINT (-71.07971689385242 42.34586241938715),37,LIGHT,42.34586242,-71.07971689
POINT (-71.07926475848626 42.345754320724595),38,LIGHT,42.34575432,-71.07926476
POINT (-71.07961295357629 42.34579403135921),39,LIGHT,42.34579403,-71.07961295
POINT (-71.07978038334687 42.34565603261844),40,LIGHT,42.34565603,-71.07978038
POINT (-71.0791201129774 42.345733645520305),41,LIGHT,42.34573365,-71.07912011
POINT (-71.07905502539279 42.3457838650238),42,LIGHT,42.34578387,-71.07905503
POINT (-71.07933175884462 42.34556240393062),43,LIGHT,42.3455624,-71.07933176
POINT (-71.07940695729106 42.34549895545095),44,LIGHT,42.34549896,-71.07940696
POINT (-71.07971352609387 42.34505683652972),45,LIGHT,42.34505684,-71.07971353
POINT (-71.07950820654015 42.34488940845247),46,LIGHT,42.34488941,-71.07950821
POINT (-71.07980853724544 42.3449827701341),47,LIGHT,42.34498277,-71.07980854
POINT (-71.07958547710398 42.34483249994838),48,LIGHT,42.3448325,-71.07958548
POINT (-71.07975718882284 42.345944496838364),49,LIGHT,42.3459445,-71.07975719
POINT (-71.07936020912624 42.34567919036736),50,LIGHT,42.34567919,-71.07936021
POINT (-71.07950007594295 42.344761478704626),51,LIGHT,42.34476148,-71.07950008
POINT (-71.07939202472664 42.34485156826443),52,LIGHT,42.34485157,-71.07939202
POINT (-71.07903886813722 42.34746121260283),53,LIGHT,42.34746121,-71.07903887
POINT (-71.07922973868044 42.34730362013082),54,LIGHT,42.34730362,-71.07922974
POINT (-71.07935237146685 42.34720150578617),55,LIGHT,42.34720151,-71.07935237
POINT (-71.07946305334657 42.34711211193871),56,LIGHT,42.34711211,-71.07946305
POINT (-71.07978523851767 42.34709155408269),57,LIGHT,42.34709155,-71.07978524
POINT (-71.07918898155198 42.346584431316266),58,LIGHT,42.34658443,-71.07918898
POINT (-71.0789698297812 42.34648891475738),59,LIGHT,42.34648891,-71.07896983
POINT (-71.07907064604004 42.34639647817619),60,LIGHT,42.34639648,-71.07907065
POINT (-71.07921617534787 42.3462751761299),61,LIGHT,42.34627518,-71.07921618
POINT (-71.0792925864338 42.346057240267086),62,LIGHT,42.34605724,-71.07929259
POINT (-71.07911842246497 42.34620162282211),63,LIGHT,42.34620162,-71.07911842
POINT (-71.07891891331852 42.34636475900909),64,LIGHT,42.34636476,-71.07891891
POINT (-71.07845105818001 42.346207782165294),65,LIGHT,42.34620778,-71.07845106
POINT (-71.07872761913697 42.34639197456211),66,LIGHT,42.34639197,-71.07872762
POINT (-71.07867505599467 42.34621774473031),67,LIGHT,42.34621774,-71.07867506
POINT (-71.07816525074479 42.34601687590121),68,LIGHT,42.34601688,-71.07816525
POINT (-71.07811483611188 42.34586434711245),69,LIGHT,42.34586435,-71.07811484
POINT (-71.07801088470114 42.34595092576594),70,LIGHT,42.34595093,-71.07801088
POINT (-71.07899627411075 42.34583262400933),71,LIGHT,42.34583262,-71.07899627
POINT (-71.07951920436335 42.34680478751521),72,LIGHT,42.34680479,-71.0795192
POINT (-71.07839334491669 42.34603214686314),73,LIGHT,42.34603215,-71.07839334
POINT (-71.07940015848538 42.34612683565246),74,LIGHT,42.34612684,-71.07940016
POINT (-71.07933039042106 42.34667839454465),75,LIGHT,42.34667839,-71.07933039
POINT (-71.0788041090831 42.346066021377936),76,LIGHT,42.34606602,-71.07880411
POINT (-71.0789101892185 42.34590891552973),77,LIGHT,42.34590892,-71.07891019
POINT (-71.07883512077035 42.34796341264806),78,LIGHT,42.34796341,-71.07883512
POINT (-71.07856712017492 42.348017705022926),79,LIGHT,42.34801771,-71.07856712
POINT (-71.07845333336779 42.34815991212866),80,LIGHT,42.34815991,-71.07845333
POINT (-71.07740015546328 42.348927969810205),81,LIGHT,42.34892797,-71.07740016
POINT (-71.07756821218248 42.34900252286307),82,LIGHT,42.34900252,-71.07756821
POINT (-71.07817638650275 42.34850351280851),83,LIGHT,42.34850351,-71.07817639
POINT (-71.07864310400466 42.34808145134264),84,LIGHT,42.34808145,-71.0786431
POINT (-71.07872799135843 42.348095281152105),85,LIGHT,42.34809528,-71.07872799
POINT (-71.07839758478646 42.34787968192624),86,LIGHT,42.34787968,-71.07839758
POINT (-71.07806253695131 42.34800514201064),87,LIGHT,42.34800514,-71.07806254
POINT (-71.07815777670399 42.34813129640357),88,LIGHT,42.3481313,-71.07815778
POINT (-71.07807626686453 42.34837139321156),89,LIGHT,42.34837139,-71.07807627
POINT (-71.07774433321582 42.34864460163987),90,LIGHT,42.3486446,-71.07774433
POINT (-71.07784841112986 42.3479153082344),91,LIGHT,42.34791531,-71.07784841
POINT (-71.07715198909635 42.34802350681811),92,LIGHT,42.34802351,-71.07715199
POINT (-71.07736435943218 42.3479672415053),93,LIGHT,42.34796724,-71.07736436
POINT (-71.07766548912765 42.34902484279925),94,LIGHT,42.34902484,-71.07766549
POINT (-71.07898203516652 42.34860635640598),95,LIGHT,42.34860636,-71.07898204
POINT (-71.07895986795145 42.34867936720513),96,LIGHT,42.34867937,-71.07895987
POINT (-71.07917065249958 42.348642271665035),97,LIGHT,42.34864227,-71.07917065
POINT (-71.07909411933134 42.34886707971397),98,LIGHT,42.34886708,-71.07909412
POINT (-71.07927256816807 42.349231678272496),99,LIGHT,42.34923168,-71.07927257
POINT (-71.07866604803715 42.34965185708962),100,LIGHT,42.34965186,-71.07866605
POINT (-71.07903784116029 42.3495528381036),101,LIGHT,42.34955284,-71.07903784
POINT (-71.078412507256 42.349720951564684),102,LIGHT,42.34972095,-71.07841251
POINT (-71.07929508323383 42.34948507562102),103,LIGHT,42.34948508,-71.07929508
POINT (-71.07937836820217 42.349619928834585),104,LIGHT,42.34961993,-71.07937837
POINT (-71.0791165488298 42.34968932408304),105,LIGHT,42.34968932,-71.07911655
POINT (-71.07888133461874 42.3497532550747),106,LIGHT,42.34975326,-71.07888133
POINT (-71.07846771344387 42.34986515104455),107,LIGHT,42.34986515,-71.07846771
POINT (-71.07949589658142 42.34966100953584),108,LIGHT,42.34966101,-71.0794959
POINT (-71.07959671901055 42.349868581116525),109,LIGHT,42.34986858,-71.07959672
POINT (-71.07975123684899 42.35017813486503),110,LIGHT,42.35017813,-71.07975124
POINT (-71.07976836826805 42.35039726891236),111,LIGHT,42.35039727,-71.07976837
